,State,Population
1025,TX,41140
1026,IL,41105
1027,OH,41076
1028,KY,40961
1029,NJ,40921
1030,NJ,40905
1031,MA,40876
1032,CT,40869
1033,MA,40834
1034,MD,40812
1035,MA,40787
1036,CA,40779
1037,OR,40731
1038,IA,40713
1039,TX,40706
1040,NY,40634
1041,OH,40552
1042,HI,40514
1043,NM,40508
1044,PA,40501
1045,WI,40451
1046,TX,40413
1047,OH,40313
1048,IL,40290
1049,IL,40269
1050,MI,40245
1051,FL,40242
1052,NJ,40191
1053,AL,40184
1054,TX,40160
1055,CT,40125
1056,CO,40083
1057,FL,40059
1058,WA,40051
1059,KS,40006
1060,NC,39997
1061,WI,39994
1062,NJ,39907
1063,SC,39899
1064,IL,39863
1065,IL,39854
1066,MI,39846
1067,FL,39764
1068,MS,39711
1069,IL,39656
1070,IL,39577
1071,CA,39568
1072,MO,39540
1073,CA,39501
1074,IL,39463
1075,ID,39409
1076,DE,39403
1077,OR,39376
1078,UT,39306
1079,TN,39289
1080,MA,39263
1081,OH,39201
1082,OH,39190
1083,OR,39189
1084,MI,39147
1085,MA,39143
1086,IL,39137
1087,IA,39102
1088,AL,39102
1089,FL,38932
1090,MN,38839
1091,AL,38816
1092,SC,38732
1093,TN,38719
1094,CA,38640
1095,CA,38633
1096,ND,38626
1097,WA,38568
1098,NM,38567
1099,WI,38527
1100,AZ,38499
1101,NJ,38497
1102,ID,38485
1103,TN,38431
1104,CT,38411
1105,GA,38358
1106,FL,38342
1107,IL,38336
1108,MA,38325
1109,MI,38318
1110,TX,38282
1111,MI,38276
1112,GA,38244
1113,OK,38240
1114,MA,38238
1115,NJ,38222
1116,MI,38206
1117,CO,38131
1118,CA,38062
1119,CA,38046
1120,IL,37983
1121,CA,37962
1122,CA,37931
1123,AR,37930
1124,IN,37926
1125,MS,37923
1126,CA,37865
1127,IN,37841
1128,WA,37818
1129,NJ,37813
1130,WI,37803
1131,AL,37781
1132,UT,37726
1133,GA,37713
1134,UT,37696
1135,SC,37661
1136,FL,37604
1137,OR,37572
1138,CA,37558
1139,IL,37470
1140,HI,37430
1141,FL,37351
1142,KS,37351
1143,OK,37290
1144,CA,37287
1145,CA,37266
1146,NJ,37264
1147,ME,37121
1148,NJ,37117
1149,OH,37114
1150,IL,37108
1151,KY,37086
1152,NJ,37074
1153,MA,37006
1154,GA,37005
1155,MN,36994
1156,FL,36939
1157,OK,36878
1158,CA,36875
1159,CT,36827
1160,WI,36816
1161,OH,36800
1162,UT,36723
1163,MI,36686
1164,TX,36670
1165,WI,36657
1166,MA,36569
1167,WI,36497
1168,CA,36494
1169,IN,36444
1170,RI,36405
1171,MA,36392
1172,CA,36284
1173,MN,36254
1174,TX,36193
1175,FL,36068
1176,IL,36033
1177,UT,36028
1178,OH,35999
1179,TX,35991
1180,WI,35967
1181,FL,35954
1182,AZ,35805
1183,MN,35801
1184,CA,35757
1185,PA,35748
1186,UT,35742
1187,OH,35726
1188,IN,35720
1189,IL,35702
1190,RI,35688
1191,SC,35682
1192,WA,35630
1193,OH,35579
1194,NC,35540
1195,CT,35515
1196,WA,35508
1197,CA,35506
1198,OH,35426
1199,MO,35417
1200,NJ,35369
1201,MA,35329
1202,SC,35308
1203,TX,35294
1204,OH,35280
1205,UT,35268
1206,AZ,35257
1207,UT,35235
1208,IL,35222
1209,WA,35219
1210,CA,35196
1211,CT,35159
1212,TX,35125
1213,TX,35124
1214,MO,35065
1215,GA,35065
1216,MS,35052
1217,NY,35029
1218,AR,35014
1219,MA,34984
1220,NJ,34927
1221,CA,34924
1222,GA,34891
1223,WA,34866
1224,TN,34842
1225,OH,34792
1226,MD,34740
1227,TX,34673
1228,FL,34670
1229,GA,34650
1230,WI,34626
1231,IN,34625
1232,CA,34613
1233,IL,34585
1234,KY,34585
1235,NC,34562
1236,IN,34517
1237,OH,34510
1238,TX,34495
1239,MT,34494
1240,OH,34483
1241,MA,34454
1242,NJ,34447
1243,GA,34417
1244,FL,34401
1245,MI,34378
1246,OR,34319
1247,MI,34318
1248,NH,34317
1249,TX,34306
1250,OH,34228
1251,ID,34203
1252,IL,34158
1253,NC,34152
1254,IN,34151
1255,TX,34143
1256,AZ,34134
1257,RI,34114
1258,WA,34060
1259,AL,33945
1260,KS,33902
1261,IN,33899
1262,CA,33805
1263,NE,33790
1264,MA,33783
1265,MN,33782
1266,CA,33780
1267,CO,33659
1268,NC,33657
1269,UT,33617
1270,PA,33577
1271,CA,33559
1272,MI,33535
1273,CA,33529
1274,VA,33458
1275,GA,33438
1276,LA,33406
1277,WY,33403
1278,UT,33337
1279,AL,33284
1280,OR,33274
1281,MA,33261
1282,MI,33194
1283,IL,33176
1284,MI,33119
1285,CA,33107
1286,TX,33097
1287,IL,33081
1288,NJ,33077
1289,NY,33066
1290,MD,33050
1291,GA,33036
1292,GA,32973
1293,NY,32954
1294,UT,32945
1295,FL,32939
1296,WA,32901
1297,WA,32888
1298,IL,32812
1299,NH,32741
1300,AR,32731
1301,CO,32716
1302,CA,32701
1303,CA,32690
1304,AZ,32689
1305,MI,32661
1306,NJ,32655
