,City,Population
657,Bristol,60833
658,Piscataway,60804
659,Vineland,60780
660,Des Plaines,60675
661,Richland,60560
662,Taylorsville,60448
663,Great Falls,60442
664,Hoboken,60419
665,Cupertino,60381
666,West Allis,60325
667,North Miami,60191
668,Owensboro,60183
669,Youngstown,60068
670,Santee,60037
671,Caldwell,59996
672,Corvallis,59922
673,Petaluma,59776
674,Union,59728
675,Manchester,59713
676,Dubuque,59667
677,Medford,59659
678,Kokomo,59604
679,White Plains,59559
680,Gilroy,59520
681,Queen Creek,59519
682,Taunton,59408
683,Leander,59202
684,Stonecrest,59194
685,Palm Beach Gardens,59182
686,Hempstead,59169
687,Grand Forks,59166
688,Casper,59038
689,St Cloud,58964
690,St Clair Shores,58874
691,Apex,58780
692,Margate,58712
693,Orland Park,58703
694,Springfield,58662
695,Carson City,58639
696,Shoreline,58608
697,Blue Springs,58603
698,Jackson,58544
699,Parker,58512
700,Midwest City,58409
701,Terre Haute,58389
702,Oak Lawn,58362
703,Bowie,58329
704,Royal Oak,58211
705,Maricopa,58125
706,Lancaster,58039
707,Hanford,57990
708,Decatur,57938
709,Kettering,57862
710,Coconut Creek,57833
711,Bartlett,57786
712,St Peters,57732
713,Wylie,57526
714,Weymouth,57437
715,Lenexa,57434
716,Burlington,57303
717,Berwyn,57250
718,Lake Havasu City,57144
719,Fountain Valley,57047
720,Highland,56999
721,Madison,56933
722,Mount Prospect,56852
723,Arcadia,56681
724,Albany,56472
725,Apple Valley,56374
726,Pocatello,56320
727,National City,56173
728,Parsippany-Troy Hills,56162
729,DeSoto,56145
730,Port Arthur,56039
731,Tinley Park,55971
732,Bradenton,55698
733,Ypsilanti,55670
734,Smyrna,55663
735,Olympia,55605
736,West Haven,55584
737,Chicopee,55560
738,Kingsport,55442
739,Perth Amboy,55436
740,Valdosta,55378
741,New Brunswick,55266
742,Brookhaven,55161
743,Herriman,55144
744,Diamond Bar,55072
745,Huntington Park,54883
746,Apopka,54873
747,Sarasota,54842
748,Wayne,54838
749,Anderson,54788
750,Southaven,54648
751,Coeur dAlene,54628
752,Plainfield,54586
753,Oak Park,54583
754,Yucaipa,54542
755,Tigard,54539
756,Peabody,54481
757,Rocky Mount,54341
758,Pensacola,54312
759,Kentwood,54304
760,Bentonville,54164
761,Manhattan,54100
762,Georgetown,54091
763,Wheaton,53970
764,Elkhart,53923
765,West Sacramento,53915
766,Colton,53909
