,City,Population
12435,Wakefield,858
12436,Battle Lake,857
12437,Belwood,857
12438,Blooming Grove,857
12439,Buffalo Center,857
12440,Hooper,857
12441,Humphrey,857
12442,Sewickley Heights,857
12443,Baconton,856
12444,Belmont,856
12445,Texhoma,856
12446,Apple Valley,855
12447,Marvell,855
12448,Clendenin,854
12449,Henning,854
12450,Moulton,854
12451,Roseland,854
12452,Acworth,853
12453,Bow Mar,853
12454,Redwater,853
12455,Truesdale,853
12456,Wells,853
12457,Clarkfield,852
12458,Francesville,852
12459,Funkstown,852
12460,Ignacio,852
12461,Jonesville,852
12462,Perry,852
12463,Anacoco,851
12464,Baltic,851
12465,Cottonwood Falls,851
12466,Gobles,851
12467,Holly Pond,851
12468,Ridgway,851
12469,Warrenton,851
12470,Cashion,850
12471,Glenwood,850
12472,Madisonville,850
12473,Seiling,850
12474,Tuscola,850
12475,Dorchester,849
12476,Marion,849
12477,Cottondale,848
12478,Fincastle,848
12479,Howard,848
12480,Rocky Ridge,848
12481,Van Wyck,848
12482,Wartburg,848
12483,Chester,847
12484,Clay City,847
12485,Green River,847
12486,Matinecock,847
12487,Riegelsville,847
12488,Center Hill,846
12489,Cleveland,846
12490,Illiopolis,846
12491,Lockwood,846
12492,Mackinaw City,846
12493,Pleasantville,846
12494,Waldo,846
12495,Blackduck,845
12496,Brilliant,845
12497,Colo,845
12498,Lecompte,845
12499,Readlyn,845
12500,Wentworth,845
12501,Arena,844
12502,Arlington,844
12503,Chappell,844
12504,Ringwood,844
12505,Shoreham,844
12506,Emily,843
12507,Landfall,843
12508,New Summerfield,843
12509,Rockwood,843
12510,Scribner,843
12511,White Lake,843
12512,Dunkerton,842
12513,Gosport,842
12514,Gratis,842
12515,Essex,841
12516,Philipsburg,841
12517,Prairie City,841
12518,Wayne,841
12519,Clifton,840
12520,Crawford,840
12521,Emerson,840
12522,Mifflintown,840
12523,New Madison,840
12524,Roachdale,840
12525,Stoddard,840
12526,Utica,840
12527,Biron,839
12528,Browerville,839
12529,Indian Lake,839
12530,Shipshewana,839
12531,Elkville,838
12532,Henefer,838
12533,Long Grove,838
12534,Adairville,837
12535,Alger,837
12536,Holly,837
12537,Oregon,837
12538,Stonington,837
12539,Annabella,836
12540,Campbellsburg,836
12541,Mankato,836
12542,Ubly,836
12543,North Bend,835
12544,Savoonga,835
12545,Shawnee Hills,835
12546,Coulterville,834
12547,Galva,834
12548,Mosses,834
12549,North Hills,834
12550,Skyline,834
12551,Stronghurst,833
12552,Graettinger,832
12553,Diamond,831
12554,Magnolia,831
12555,Mathiston,831
12556,Millheim,831
12557,Oakland,831
12558,Smithfield,831
12559,St Joseph,831
12560,Windsor,831
12561,Flushing,830
12562,Garibaldi,830
12563,Hayneville,830
12564,Hopedale,830
12565,Lynnville,830
12566,Paw Paw,830
12567,Point Hope,830
12568,Schleswig,830
12569,Superior,830
12570,Alton,829
12571,Bandera,829
12572,Bovey,829
12573,Chesnee,829
12574,Copperton,829
12575,Cummington,829
12576,Garrett,829
12577,Lake City,829
12578,Lone Rock,829
12579,Marengo,829
12580,Maywood Park,829
12581,Rockaway Beach,829
12582,White Plains,829
12583,Interlaken,828
12584,Rivesville,828
12585,Round Lake,828
12586,Brooklin,827
12587,Cambridge,827
12588,Cyril,827
12589,Galatia,827
12590,Faulkton,826
12591,Meredosia,826
12592,Plantation,826
12593,Rural Valley,826
12594,Brantley,825
12595,Emmonak,825
12596,Flemington,825
12597,Harmony,825
12598,La Grange,825
12599,McCammon,825
12600,Warren,825
12601,Berryville,824
12602,East Tawakoni,824
12603,Eton,824
12604,Lyons,824
12605,Siren,824
12606,Arlington Heights,823
12607,Benton,823
12608,Bremen,823
12609,North Irwin,823
12610,Winthrop,823
12611,Cairo,822
12612,Cottonwood,822
12613,Dayton,822
12614,East Bank,822
12615,Moyie Springs,822
12616,New Salem,822
12617,Rockford,822
12618,Sodus Point,822
12619,Benkelman,821
12620,Chester Hill,821
12621,Crawford,821
12622,Greers Ferry,821
12623,Merrill,821
12624,Penney Farms,821
12625,Sheffield,821
12626,Alcester,820
12627,Carroll,820
12628,Coal Hill,820
12629,Elmwood,820
12630,Surry,820
12631,Coldspring,819
12632,Faith,819
12633,Harrisville,819
12634,Montgomery,819
12635,Otisville,819
12636,Shirley,819
12637,Valliant,819
12638,East Brady,818
12639,Maysville,818
12640,West Middlesex,818
12641,Cissna Park,817
12642,Grant City,817
12643,Tekoa,817
12644,Togiak,817
12645,Allenhurst,816
12646,Gurley,816
12647,Hilshire Village,816
12648,Metcalfe,816
12649,Parksley,816
12650,Roy,816
12651,Rushville,816
12652,Stephenson,816
12653,Thrall,816
12654,Dawson,815
12655,Sherman,815
12656,Bunker Hill,814
12657,Peru,814
12658,Summerton,814
12659,Viborg,814
12660,Weybridge,814
12661,Candor,813
12662,Eagleville,813
12663,Eureka,813
12664,Pittsville,813
12665,Roberta,813
12666,Sanford,813
12667,Seligman,813
12668,Stewartstown,813
12669,Greenleaf,812
12670,Kwethluk,812
12671,Loami,812
12672,New Milford,812
12673,Greensboro,811
12674,Knox,811
12675,Magnolia Springs,811
12676,Naalehu,811
12677,Newington,811
12678,Old Fort,811
12679,Quapaw,811
12680,Killbuck,810
12681,Avoca,809
12682,Belle Center,809
12683,Celeste,809
12684,Corinne,809
12685,Davenport,809
12686,Doniphan,809
12687,George,809
12688,Lilydale,809
12689,Oshkosh,809
12690,Selawik,809
12691,Stockton,809
12692,Belle Terre,808
12693,Church Hill,808
12694,Fouke,808
12695,Pleasant Plains,808
12696,Roosevelt,808
12697,Blanchardville,807
12698,Decaturville,807
12699,Keysville,807
12700,Lowden,807
12701,Milford Center,807
12702,Minersville,807
12703,Port Royal,807
12704,Curtis,806
12705,Fountain City,806
12706,Magdalena,806
12707,Mount Hope,806
12708,Riceville,806
12709,Star,806
12710,Weleetka,806
12711,White Hall,806
12712,Allen,805
12713,Blue Hill,805
12714,Caspian,805
12715,Dallas City,805
12716,Kerkhoven,805
12717,Pinesdale,805
12718,Silverdale,805
12719,Fertile,804
12720,Jupiter Island,804
12721,New Holland,804
12722,Patagonia,804
12723,Hazelton,803
12724,Hebron,803
12725,Isle,803
12726,McKee,803
12727,Simsboro,803
12728,Alma,802
12729,Chevy Chase Section Three,802
12730,Elsinore,802
12731,Grover,802
12732,Ossian,802
12733,Perry,802
12734,Pineville,802
12735,Royal Center,802
12736,Sherwood,802
12737,Brunswick,801
12738,Concrete,801
12739,Croydon,801
12740,Hardin,801
12741,Montreal,801
12742,New Berlin,801
12743,Shannon,801
12744,Spaulding,801
12745,Boswell,800
12746,Downs,800
12747,Humboldt,800
12748,Pittsburg,800
12749,Gladbrook,799
12750,Hollow Creek,799
12751,Kimball,799
12752,King City,799
12753,Trezevant,799
12754,Byrdstown,798
12755,East Camden,798
12756,La Fontaine,798
12757,New Haven,798
12758,Coffeeville,797
12759,Dugger,797
12760,Santee,797
12761,St Stephen,797
12762,Troy,797
12763,Edon,796
12764,Elkton,796
12765,Gaston,796
12766,Goshen,796
12767,Halifax,796
12768,Hewitt,796
12769,Palatine Bridge,796
12770,Somerville,796
12771,Stone Harbor,796
12772,Wallowa,796
12773,Autaugaville,795
12774,Dauphin,795
12775,Waldo,795
12776,Walnut Springs,795
12777,Afton,794
12778,Enfield,794
12779,Gilbertville,794
12780,Greenville,794
12781,Harwood,794
12782,Hebron,794
12783,Isleton,794
12784,Lake Tapawingo,794
12785,Middletown Springs,794
12786,New Milford,794
12787,Osmond,794
12788,Parkin,794
12789,St George,794
12790,Alexis,793
12791,Jewett,793
12792,Plandome Manor,793
12793,Sycamore,793
12794,Bloomsbury,792
12795,Cimarron,792
12796,Forest View,792
12797,Inkom,792
12798,Lamberton,792
12799,Montgomery,792
12800,Adair,791
12801,Blue Ridge Manor,791
12802,Branchville,791
12803,Spearville,791
12804,Wallace,791
12805,West Bend,791
12806,Ellington,790
12807,Frankford,790
12808,Key Colony Beach,790
12809,Milltown,790
12810,Pearl City,790
12811,Royal Hawaiian Estates,790
12812,Rushford Village,790
12813,St Joseph,790
12814,Van Buren,790
12815,Aspermont,789
12816,Garrison,789
12817,Marion,789
12818,Marshallville,789
12819,Newton,789
12820,Bowman,788
12821,Damascus,788
12822,Industry,788
12823,Oklahoma,788
12824,Orleans,788
12825,Pembroke,788
12826,Powderly,788
12827,Cotton Valley,787
12828,Exira,787
12829,Hemingford,787
12830,Hugo,787
12831,Ridge Farm,787
12832,Susan Moore,787
12833,Teton,787
12834,Borden,786
12835,Candor,786
12836,Escalante,786
12837,Melbourne,786
12838,Oakley,786
12839,Owensville,786
12840,West Salem,786
12841,Scotland,785
12842,Union,785
12843,Witt,785
12844,Coalmont,784
12845,Faison,784
12846,Gibbon,784
12847,Hackett,784
12848,Mulga,784
12849,Onamia,784
12850,Pomona Park,784
12851,Underwood,784
12852,Waverly,784
12853,Argyle,783
12854,Ashland,783
12855,Darby,783
12856,Eldon,783
12857,Manchester,783
12858,Dover,782
12859,Jackman,782
12860,Perryville,782
12861,Raymond,782
12862,Rutledge,782
12863,Bethany,781
12864,Bruce,781
12865,Plankinton,781
12866,Syracuse,781
12867,Bude,780
12868,Clarksville City,780
12869,Gideon,780
12870,Mayfield,780
12871,Parma,780
12872,Rankin,780
12873,Saltsburg,780
12874,Stamping Ground,780
12875,Warwick,780
12876,Wild Rose,780
12877,Central City,779
12878,Pleasureville,779
12879,Alanson,778
12880,Bingen,778
12881,Brimfield,778
12882,Cammack Village,778
12883,Coolidge,778
12884,Fordland,778
12885,Milo,778
12886,Newman,778
12887,Russellville,778
12888,Santa Clara,778
12889,Webster,778
12890,Cambria,777
12891,Cassville,777
12892,Marshall,777
12893,Americus,776
12894,Bearden,776
12895,Grand Coteau,776
12896,Luthersville,776
12897,Quinhagak,776
12898,Springport,776
12899,Baileys Prairie,775
12900,Buckley,775
12901,Lakeview,775
12902,Manilla,775
12903,Ninnekah,775
12904,Wheatland,775
12905,Castalia,774
12906,Dunkirk,774
12907,Earlville,774
12908,Greenwood,774
12909,Pellston,774
12910,Thorndike,774
12911,Van Horne,774
12912,Gary,773
12913,Gibsland,773
12914,Halaula,773
12915,Hamlet,773
12916,Ludlow,773
12917,New Site,773
12918,Walnut Grove,773
12919,Dayton,772
12920,Dyer,772
12921,Eagle Lake,772
12922,Fairmount,772
12923,Footville,772
12924,Hessmer,772
12925,Jefferson,772
12926,Man,772
12927,Milner,772
12928,Niota,772
12929,Tribune,772
12930,Alamo,771
12931,Cheyenne,771
12932,Everson,771
12933,Greenwich,771
12934,Halifax,771
12935,Lyndonville,771
12936,Maben,771
12937,Oak Ridge,771
12938,Oakman,771
12939,Wessington Springs,771
12940,Wisner,771
12941,Jetmore,770
12942,Kenansville,770
12943,Sagaponack,770
12944,Stephens,770
12945,Crowell,769
12946,Folsom,769
12947,Harlem,769
12948,Hennepin,769
12949,Peletier,769
12950,Piermont,769
12951,Screven,769
12952,Hardin,768
12953,Mossyrock,768
12954,Okoboji,768
12955,Silverhill,768
12956,St Ignatius,768
12957,Chiloquin,767
12958,Airport Drive,766
12959,Carson,766
12960,Correctionville,766
12961,Norphlet,766
12962,Orangeville,766
12963,Road Runner,766
12964,Wilson,766
12965,Bainbridge,765
12966,Chesapeake,765
12967,Eldred,765
12968,New Portland,765
12969,Rockland,765
12970,Unalakleet,765
12971,Cohutta,764
12972,East Butler,764
12973,Houtzdale,764
12974,Hurst,764
12975,Knollwood,764
12976,Lake View,764
12977,LaMoure,764
12978,Leadington,764
12979,Winslow,764
12980,Alden,763
12981,Aulander,763
12982,Dewar,763
12983,East Galesburg,763
12984,Eastview,763
12985,Garnavillo,763
12986,Gray Court,763
12987,Hunting Valley,763
12988,Livingston,763
12989,Lyons,763
12990,Potlatch,763
12991,Reeseville,763
12992,Sentinel,763
12993,Calhan,762
12994,Cowley,762
12995,Red Cross,762
12996,Redmond,762
12997,Stantonsburg,762
12998,Tellico Plains,762
12999,Douglas,761
13000,Gordon,761
13001,Hauser,761
13002,Fair Haven,760
13003,Poulan,760
13004,Turbeville,760
13005,Albany,759
13006,Dakota City,759
13007,Fairfield,759
13008,Gassaway,759
13009,Hobson City,759
13010,Madison,759
13011,Melville,759
13012,Philip,759
13013,Raymond,759
13014,Six Mile,759
13015,Wakefield,759
13016,Wheelock,759
13017,Cheyenne Wells,758
13018,Coon Valley,758
13019,Hanson,758
13020,Island Falls,758
13021,McBee,758
13022,Pine Hill,758
13023,Poplar,758
13024,Rockford,758
13025,Westbrook,758
13026,Wonewoc,758
13027,Bella Villa,757
13028,Diamond City,757
13029,Drayton,757
13030,Hancock,757
13031,King Cove,757
13032,Waikoloa Beach Resort,757
13033,Wood Heights,757
13034,Alakanuk,756
13035,Bulls Gap,756
13036,Crofton,756
13037,Eastborough,756
13038,Rising Star,756
13039,Section,756
13040,Wyocena,756
13041,Brookfield,755
13042,Elkton,755
13043,Fincastle,755
13044,Wall Lake,755
13045,Deemston,754
13046,Foxfield,754
13047,Smithers,754
13048,Woodhull,754
13049,Bath,753
13050,Burr Oak,753
13051,Culbertson,753
13052,Lometa,753
13053,Orrick,753
13054,Andover,752
13055,Conway,752
13056,Deshler,752
13057,Dover,752
13058,Gilsum,752
13059,Guy,752
13060,Homecroft,752
13061,Lenox,752
13062,Morning Sun,752
13063,Pine Lake,752
13064,Ridgeway,752
13065,Smiths Grove,752
13066,Theresa,752
13067,Keiser,751
13068,Sharon Springs,751
13069,Walnut Grove,751
13070,Ashkum,750
13071,Cloudcroft,750
13072,Jeffersonville,750
13073,South Range,750
13074,St Clair,750
13075,Tilden,750
13076,Boyce,749
13077,Clarkston,749
13078,East Sparta,749
13079,Estelline,749
13080,Jennings,749
13081,Marlow,749
13082,Napoleon,749
13083,Patterson,749
13084,Plain,749
13085,Rich Creek,749
13086,Tonica,749
13087,Waynesfield,749
13088,West Mansfield,749
13089,Chalfant,748
13090,Coward,748
13091,Juniata,748
13092,Lewisburg,748
13093,Mooringsport,748
13094,Sioux Rapids,748
13095,Cleveland,747
13096,Jacksons Gap,747
13097,Mertzon,747
13098,Millersburg,747
13099,Parkman,747
13100,Selma,747
13101,Van Buren,747
13102,Walnut,747
13103,Woodridge,747
13104,Greenville,746
13105,Woodville,746
13106,Arkport,745
13107,Bridgewater,745
13108,Gainesville,745
13109,Greenview,745
13110,Piper City,745
13111,Point,745
13112,Princeton,745
13113,Whiting,745
13114,Blythe,744
13115,Crab Orchard,744
13116,Hampton,744
13117,Meriden,744
13118,Scalp Level,744
13119,Scooba,744
13120,Wataga,744
13121,Gratz,743
13122,Hardy,743
13123,Holdingford,743
13124,McLean,743
13125,Rocky Hill,743
13126,Trenton,743
13127,Bethel Springs,742
13128,Duck,742
13129,Fultonville,742
13130,Heath Springs,742
13131,McGregor,742
13132,Talbotton,742
13133,Washington,742
13134,Bloomington,741
13135,Morehouse,741
13136,Norris,741
13137,Payne Springs,741
13138,Sebeka,741
13139,Greensburg,740
13140,Loyalton,740
13141,Magazine,740
13142,Mountain View,740
13143,Ray,740
13144,Tiskilwa,740
13145,Westmoreland,740
13146,White Springs,740
13147,Conneautville,739
13148,Gilbertown,739
13149,Oakland,739
13150,Ripton,739
13151,Sunrise Beach Village,739
13152,Wabasso,739
13153,Belgrade,738
13154,Clarence,738
13155,Colton,738
13156,Doerun,738
13157,Elmore City,738
13158,Minneola,738
13159,Montrose,738
13160,Vernon,738
13161,Wellington,738
13162,Braymer,737
13163,Corydon,737
13164,Ector,737
13165,Monticello,737
13166,Oppelo,737
13167,Shalimar,737
13168,Valley View,737
13169,Wedowee,737
13170,Whitelaw,737
13171,Beech Creek,736
13172,Bendersville,736
13173,Chesapeake City,736
13174,Volcano,736
13175,Woodland Hills,736
13176,Chateaugay,735
13177,Clay Center,735
13178,Hubbardton,735
13179,Ider,735
13180,Pecan Hill,735
13181,Afton,734
13182,Carbonado,734
13183,Courtland,734
13184,Joaquin,734
13185,Leyden,734
13186,Plumerville,734
13187,Alliance,733
13188,Claysville,733
13189,Exeter,733
13190,Hartford,733
13191,Kinmundy,733
13192,Morrison,733
13193,Stewartsville,733
13194,Swifton,733
13195,West Winfield,733
13196,Adair,732
13197,Axtell,732
13198,Cleveland,732
13199,Glen Ullin,732
13200,North Hornell,732
13201,Vernon,732
13202,Addison,731
13203,Brownton,731
13204,Malin,731
13205,Pepin,731
13206,Redfield,731
13207,Shueyville,731
13208,Williamsburg,731
13209,Birnamwood,730
13210,Frankfort,730
13211,La Farge,730
13212,La Jara,730
13213,Meadow Vale,730
13214,New Deal,730
13215,St Agatha,730
13216,Vandling,730
13217,Conway,729
13218,Ogden,729
13219,Perrysville,729
13220,Schaller,729
13221,Tyrone,729
13222,Colcord,728
13223,Como,728
13224,Hedrick,728
13225,Lake Park,728
13226,Mannsville,728
13227,Mortons Gap,728
13228,Waiahole-Waikane,728
13229,Blair,727
13230,Bucklin,727
13231,Hamden,727
13232,Lexington,727
13233,Shelby,727
13234,Throckmorton,727
13235,Coleman,726
13236,Greenwood,726
13237,Jonesburg,726
13238,Saxton,726
13239,Brookport,725
13240,Calhoun,725
13241,Edgemont,725
13242,Garber,725
13243,Grand Junction,725
13244,Kiowa,725
13245,Ruthven,725
13246,St Edward,725
13247,Braceville,724
13248,Bromley,724
13249,Elizabeth,724
13250,Fairplay,724
13251,Flordell Hills,724
13252,Lanesboro,724
13253,Meyers Lake,724
13254,Rio Grande,724
13255,Taylor Springs,724
13256,Angelica,723
13257,Ellenboro,723
13258,Heath,723
13259,Loretto,723
13260,Morrison,723
13261,Twin Valley,723
13262,Asherton,722
13263,Beckville,722
13264,Cascade,722
13265,Chocowinity,722
13266,Confluence,722
13267,Essex,722
13268,Heuvelton,722
13269,Kingston,722
13270,Milford,722
13271,Oxford,722
13272,Salem,722
13273,Swansea,722
13274,Junction City,721
13275,New Vineyard,721
13276,Ringtown,721
13277,Stewardson,721
13278,Crab Orchard,720
13279,Klawock,720
13280,Philo,720
13281,Rolling Fields,720
13282,Roscoe,720
13283,Wellsburg,720
13284,Wrightstown,720
13285,Olympian Village,719
13286,Spencer,719
13287,Westport Island,719
13288,Bertrand,718
13289,Cedar Grove,718
13290,Hospers,718
13291,Oxford,718
13292,Piedmont,718
13293,Stockbridge,718
13294,Wilton,718
13295,Elgin,717
13296,Lumberport,717
13297,Merrill,717
13298,Middlebourne,717
13299,Rock Island,717
13300,Sarepta,717
13301,Alma,716
13302,Cullen,716
13303,Earlville,716
13304,Haileyville,716
13305,Mabel,716
13306,Tyronza,716
13307,Vermontville,716
13308,Bethlehem,715
13309,Horseshoe Bend,715
13310,Menan,715
13311,Minatare,715
13312,Newland,715
13313,Oakville,715
13314,Peacham,715
13315,Bardwell,714
13316,Fountain City,714
13317,Kasota,714
13318,St Nazianz,714
13319,Welaka,714
13320,Blairstown,713
13321,Carnesville,713
13322,Hazleton,713
13323,Atlanta,712
13324,Climax,712
13325,Hatton,712
13326,Koppel,712
13327,Pikeville,712
13328,Russia,712
13329,Savoy,712
13330,Seven Mile,712
13331,Washingtonville,712
13332,Branford,711
13333,Condon,711
13334,Darlington,711
13335,Deerfield,711
13336,Freedom,711
13337,Green Spring,711
13338,Kansas,711
13339,Linden,711
13340,Ventura,711
13341,Alna,710
13342,Copan,710
13343,Karlstad,710
13344,Kirklin,710
13345,Lake Andes,710
13346,Powers,710
13347,Shelby,710
13348,South Wilmington,710
13349,Welcome,710
13350,Athol,709
13351,Bertrand,709
13352,Fair Bluff,709
13353,Mercer,709
13354,Elysian,708
13355,Enterprise,708
13356,Fremont,708
13357,Tigerton,708
13358,Waynoka,708
13359,Alton,707
13360,Delta,707
13361,Matherville,707
13362,Stratford,707
13363,Nevada,706
13364,Patoka,706
13365,Puryear,706
13366,Salisbury,706
13367,Tatum,706
13368,Weston,706
13369,Algoma,705
13370,Almena,705
13371,Higginson,705
13372,Hillcrest,705
13373,Montfort,705
13374,Queenstown,705
13375,Trimont,705
13376,Avon,704
13377,Detroit,704
13378,Miller,704
13379,ODonnell,704
13380,Upton,704
13381,Walnut,704
13382,Cohocton,703
13383,Empire City,703
13384,Glasgow,703
13385,Iberia,703
13386,Northwest,703
13387,Reiles Acres,703
13388,Auburndale,702
13389,Catawba,702
13390,Colfax,702
13391,Columbiaville,702
13392,Knightsville,702
13393,Matamoras,702
13394,Readsboro,702
13395,Boyden,701
13396,Coggon,701
13397,Cottageville,701
13398,Hindman,701
13399,Rosman,701
13400,Battle Creek,700
13401,Lakeside,700
13402,McClure,700
13403,White Hall,700
13404,Bancroft,699
13405,Cape Vincent,699
13406,Wall,699
13407,Weir,699
13408,Armour,698
13409,Castlewood,698
13410,Grandview,698
13411,Hoffman,698
13412,Mellen,698
13413,New Houlka,698
13414,Prospect,698
13415,Rupert,698
13416,Urania,698
13417,Pocahontas,697
13418,Altheimer,696
13419,Brownstown,696
13420,Nicholson,696
13421,North,696
13422,Oneida,696
13423,Windfall City,696
13424,Bogue,695
13425,Fort Jones,695
13426,Parker,695
13427,Burnside,694
13428,Clarks Grove,694
13429,Clyde,694
13430,Duncan,694
13431,Elizabeth,694
13432,Estherwood,694
13433,Florida,694
13434,Mohall,694
13435,Noorvik,694
13436,Quitman,694
13437,Sheridan,694
13438,Webster,694
13439,Round Hill,693
13440,Washington,693
13441,Wayne Lakes,693
13442,Black Creek,692
13443,Grantsboro,692
13444,Kirtland Hills,692
13445,Richardton,692
13446,Sheridan,692
13447,Sherrard,692
13448,Sycamore,692
13449,Thaxton,692
13450,Burke,691
13451,Lawrenceville,691
13452,Millerstown,691
13453,San Felipe,691
13454,Sharptown,691
13455,Barton,690
13456,Brownstown,690
13457,Columbia,690
13458,Hanover,690
13459,New Harmony,690
13460,Corfu,689
13461,Courtdale,689
13462,Farmersville,689
13463,Fremont,689
13464,Madison,689
13465,Potomac,689
13466,Sewickley Hills,689
13467,Silver Springs,689
13468,Tampico,689
13469,Launiupoko,688
13470,Ridgeville,688
13471,Scurry,688
13472,Walker,688
13473,Cedar Key,687
13474,Coldwater,687
13475,Derby Line,687
13476,Dobbins Heights,687
13477,Hot Sulphur Springs,687
13478,Howard,687
13479,Lake Benton,687
13480,New Bloomfield,687
13481,Reading,687
13482,Hills,686
13483,Lake Tanglewood,686
13484,Waterville,686
13485,York Haven,686
13486,Agua Dulce,685
13487,Canton,685
13488,Carey,685
13489,Eleva,685
13490,Elgin,685
13491,English,685
13492,Grant Town,685
13493,Springer,685
13494,Bainbridge,684
13495,Murray,684
13496,Spencer,684
13497,Strathmoor Village,684
13498,Adams,683
13499,Hanna,683
13500,Hollow Rock,683
13501,Lakota,683
13502,New England,683
13503,Post Oak Bend City,683
13504,Racine,683
13505,South Coffeyville,683
13506,Sunset Valley,683
13507,York Springs,683
13508,Greenbush,682
13509,Highmore,682
13510,North Chevy Chase,682
13511,Sheffield,682
13512,Walthill,682
13513,Amity,681
13514,Melbourne Village,681
13515,Pisgah,681
13516,Sligo,681
13517,Williamson,681
13518,Driscoll,680
13519,Knoxville,680
13520,Motley,680
13521,Cumby,679
13522,Dublin,679
13523,La Moille,679
13524,Michie,679
13525,Onaga,679
13526,Wellston,679
13527,Amherst,678
13528,Bradford,678
13529,Etna,678
13530,Evans Mills,678
13531,Haviland,678
13532,Jennerstown,678
13533,Kirkwood,678
13534,Log Cabin,678
13535,Rollingstone,678
13536,Roxbury,678
13537,Stanton,678
13538,Star Prairie,678
13539,Stockbridge,678
13540,West Lebanon,678
13541,Albert City,677
13542,Harmony,677
13543,Pennsbury Village,677
13544,Shoals,677
13545,Superior,677
13546,Turbotville,677
13547,Bradford,676
13548,Cecilton,676
13549,Ellendale,676
13550,Fontanelle,676
13551,Gaston,676
13552,Hawk Point,676
13553,La Rue,676
13554,Newborn,676
13555,Renova,676
13556,Rockport,676
13557,Sedalia,676
13558,Viola,676
13559,Alburnett,675
13560,Alpha,675
13561,Beech Mountain,675
13562,Campobello,675
13563,Cass Lake,675
13564,Delaware Water Gap,675
13565,Fort Gay,675
13566,Freeport,675
13567,Lancaster,675
13568,Moores Hill,675
13569,Spring Valley,675
13570,Doyline,674
13571,Seneca Gardens,674
13572,Amanda,673
13573,Carrabassett Valley,673
13574,Midvale,673
13575,Otis,673
13576,Preston,673
13577,Scio,673
13578,Washington,673
13579,Chevy Chase Section Five,672
13580,Danville,672
13581,Eads,672
13582,Kaumakani,672
13583,Ochlocknee,672
13584,Savona,672
13585,Vershire,672
13586,Wheaton,672
13587,Agency,671
13588,Cordova,671
13589,New Florence,671
13590,Pilot Knob,671
13591,Deer Lake,670
13592,Kansas,670
13593,Smelterville,670
13594,Snow Shoe,670
13595,South Webster,670
13596,Virgin,670
13597,Wickliffe,670
13598,Beaumont,669
13599,Graford,669
13600,Leon,669
13601,Middleburg,669
13602,Triadelphia,669
13603,Valleyview,669
13604,Arapaho,668
13605,Connoquenessing,668
13606,Fonda,668
13607,Niederwald,668
13608,Sterling,668
13609,Watson,668
13610,Windsor,668
13611,Blaine,667
13612,Deer Creek,667
13613,Newman Grove,667
13614,Ririe,667
13615,Rock Creek,667
13616,Ryan,667
13617,Viburnum,667
13618,Harleyville,666
13619,Nuangola,666
13620,Onida,666
13621,Victory,666
13622,Altus,665
13623,Bloomdale,665
13624,Leighton,665
13625,McLean,665
13626,Perry,665
13627,Pilot Grove,665
13628,Sebec,665
13629,Steele,665
13630,Valley Brook,665
13631,Adena,664
13632,Aroma Park,664
13633,Charleston,664
13634,Findlay,664
13635,Gates,664
13636,La Belle,664
13637,Marine on St Croix,664
13638,Rosedale,664
13639,Cedarville,663
13640,Dalzell,663
13641,Gould,663
13642,Merrill,663
13643,Parkway,663
13644,Ariton,662
13645,Bridger,662
13646,Eureka,662
13647,Highland Hills,662
13648,Mechanicsburg,662
13649,Stratford,662
13650,Clarissa,661
13651,Dongola,661
13652,Minnesota Lake,661
13653,Mounds,661
13654,New Hope,661
13655,Oakfield,661
13656,Udall,661
13657,White,661
13658,Whitewater,661
13659,Auburn,660
13660,Buffalo Lake,660
13661,Canyon City,660
13662,Knoxville,660
13663,Pretty Prairie,660
13664,St Leon,660
13665,Addison,659
13666,Columbia,659
13667,Francis Creek,659
13668,Wadley,659
13669,Elwood,658
13670,Jefferson,658
13671,Kanawha,658
13672,Loreauville,658
13673,Lynch,658
13674,Middleton,658
13675,Oriskany Falls,658
13676,Sullivan,658
13677,Toksook Bay,658
13678,Waterville,658
13679,Lacona,657
13680,Pleasant Hope,657
13681,Science Hill,657
13682,Golden City,656
13683,Kingstown,656
13684,New Berlin,656
13685,Solon Springs,656
13686,Stratton,656
13687,West City,656
13688,Dexter,655
13689,Gustavus,655
13690,Kotlik,655
13691,Rocky Ripple,655
13692,Brooksville,654
13693,Chippewa Lake,654
13694,Danielsville,654
13695,Elmwood,654
13696,Saybrook,654
13697,Barlow,653
13698,Crofton,653
13699,Hymera,653
13700,La Prairie,653
13701,Mott,653
13702,Scranton,653
13703,Tekonsha,653
13704,Wartrace,653
13705,West Union,653
13706,Caseville,652
13707,Jarratt,652
13708,Mineral City,652
13709,New Straitsville,652
13710,Upper Marlboro,652
13711,Walnut Grove,652
13712,Berlin Heights,651
13713,Felicity,651
13714,Langdon,651
13715,Ohio City,651
13716,Olin,651
13717,Rushville,651
13718,Sullivan,651
13719,Taconite,651
13720,Abbot,650
13721,Cleveland,650
13722,East Ellijay,650
13723,Misenheimer,650
13724,Alexandria,649
13725,Baileyton,649
13726,Brooklyn,649
13727,Firth,649
13728,Hayden Lake,649
13729,Hershey,649
13730,Sandy Lake,649
13731,Sherman,649
13732,Fairfax,648
13733,Friendship,648
13734,Golden,648
13735,Hatley,648
13736,Micanopy,648
13737,Peru,648
13738,Scranton,648
13739,Alda,647
13740,Antonito,647
13741,Big Run,647
13742,Camp Douglas,647
13743,Central Valley,647
